origin_minutes,model,delta_pr_vs_prevalence_baseline,delta_roc_vs_prevalence_baseline,brier_skill_score,delta_log_loss_vs_prevalence_baseline
30,Direct same-X,0.023241711315095497,0.3596540178571429,-0.30955210278920964,-0.023416604109899458
30,Hierarchical same-X,0.033969098095473244,0.4349888392857143,-0.16123072214129897,-0.005863994791743515
45,Direct same-X,0.025322448011564892,0.36213151927437637,-0.17618113002283975,-0.010519848608129628
45,Hierarchical same-X,0.06653471203576408,0.44739229024943317,-0.014282843490535102,0.01009635593685218
