formulation,n,hail_positive,roc_auc,pr_auc,brier,log_loss
Direct,123,13,0.4748251748251749,0.09903853951776713,0.12105189303062387,0.4090732724432957
Storm-conditioned,123,13,0.4524475524475524,0.09865636379058329,0.1401006714130483,0.45520793090233547
