origin_minutes,model,n,positives,prevalence,pr_auc,roc_auc,brier,log_loss
30,LOPO prevalence baseline,232,8,0.034482758620689655,0.025290717577157555,0.22516741071428573,0.033834311288474146,0.1587610518872989
30,Direct same-X,232,8,0.034482758620689655,0.04853242889225305,0.5848214285714286,0.04430779349424601,0.18217765599719835
30,Hierarchical same-X,232,8,0.034482758620689655,0.0592598156726308,0.66015625,0.03928944173066834,0.1646250466790424
45,LOPO prevalence baseline,254,9,0.03543307086614173,0.026528975161382952,0.23560090702947847,0.03475016072174242,0.16282422336227395
45,Direct same-X,254,9,0.03543307086614173,0.051851423172947844,0.5977324263038548,0.040872483306174295,0.17334407197040358
45,Hierarchical same-X,254,9,0.03543307086614173,0.09306368719714704,0.6829931972789116,0.035246491828602004,0.15272786742542177
