formulation,n,hail_positive,roc_auc,pr_auc,brier,log_loss
Direct,123,13,0.5342657342657343,0.12163182205933282,0.21407558893516815,0.6229368347395364
Storm-conditioned,123,13,0.6272727272727272,0.17779727955614474,0.16513120853772464,0.4943266954267979
