origin_minutes,stage,n,positives,prevalence,delta_pr_vs_prevalence_baseline,delta_roc_vs_prevalence_baseline,brier_skill_score,delta_log_loss_vs_prevalence_baseline
30,Stage 1: storm,232,148,0.6379310344827587,0.18966344206709396,0.37323037323037317,0.24450251015581015,-0.0020134872202599574
30,Stage 2: hail | storm,148,8,0.05405405405405406,0.04209753967939186,0.39821428571428563,-0.16653617856460978,-0.009862758279296474
45,Stage 1: storm,254,149,0.5866141732283464,0.25493976464243395,0.3345158197507191,0.22801265577815077,0.11251352448326557
45,Stage 2: hail | storm,149,9,0.06040268456375839,0.0384869219133201,0.31904761904761914,-0.21492716537951084,-0.02401651824652057
