origin_minutes,stage,model,n,positives,prevalence,pr_auc,roc_auc,brier,log_loss
30,Stage 1: storm,Stage-1 LOPO prevalence baseline,232,148,0.6379310344827587,0.5785045580914656,0.39342020592020593,0.23360700286246378,0.6603401505862806
30,Stage 1: storm,Stage-1 model,232,148,0.6379310344827587,0.7681680001585596,0.7666505791505791,0.17648950427261587,0.6623536378065406
30,Stage 2: hail | storm,Stage-2 LOPO prevalence baseline,148,8,0.05405405405405406,0.03967577279245003,0.21964285714285714,0.052437605140539564,0.22400108395669519
30,Stage 2: hail | storm,Stage-2 model,148,8,0.05405405405405406,0.08177331247184189,0.6178571428571428,0.06117036351372496,0.23386384223599166
45,Stage 1: storm,Stage-1 LOPO prevalence baseline,254,149,0.5866141732283464,0.546242270947056,0.4362735698306168,0.24380163895998852,0.6807607487299923
45,Stage 1: storm,Stage-1 model,254,149,0.5866141732283464,0.80118203558949,0.7707893895813359,0.18821177977765566,0.5682472242467267
45,Stage 2: hail | storm,Stage-2 LOPO prevalence baseline,149,9,0.06040268456375839,0.04523445037618553,0.22857142857142856,0.05848284205304759,0.24522226593840196
45,Stage 2: hail | storm,Stage-2 model,149,9,0.06040268456375839,0.08372137228950563,0.5476190476190477,0.07105239351884676,0.26923878418492253
