rep,storm_roc_auc,background_roc_auc,storm_pr_auc,background_pr_auc,storm_brier,background_brier,storm_log_loss,background_log_loss
0,0.5174825174825175,0.6286713286713287,0.10975937482020962,0.18472188023767816,0.12125438414909068,0.14869879569173422,0.4090376930404419,0.46052739216296074
1,0.534965034965035,0.6286713286713287,0.11638979796542137,0.18472188023767816,0.12319455316996357,0.14869879569173422,0.4094394296117917,0.4605273921629607
2,0.5447552447552448,0.6286713286713287,0.11502964918255978,0.18472188023767816,0.13072204602713833,0.14869879569173425,0.4271421887993634,0.46052739216296074
3,0.544055944055944,0.6286713286713287,0.11706310638890818,0.18472188023767816,0.11050342646436724,0.14869879569173422,0.38125486896846533,0.4605273921629606
4,0.5377622377622377,0.6286713286713287,0.11265415794072448,0.18472188023767816,0.11698892642482983,0.1486987956917343,0.39494202978903664,0.46052739216296074
5,0.4258741258741259,0.6286713286713287,0.09182737662417502,0.18472188023767816,0.14747104912135925,0.1486987956917343,0.46246778040892755,0.46052739216296074
6,0.46713286713286717,0.6286713286713287,0.09847934367440656,0.18472188023767816,0.1723661695156219,0.14869879569173422,0.5329680784630332,0.4605273921629606
7,0.4664335664335664,0.6286713286713287,0.10322897920848995,0.18472188023767816,0.13415851833167391,0.1486987956917343,0.435862371189944,0.46052739216296074
8,0.48041958041958044,0.6286713286713287,0.10692867778312158,0.18472188023767816,0.1225437019721603,0.1486987956917343,0.4147836132863024,0.46052739216296074
9,0.5335664335664336,0.6286713286713287,0.11340729966552232,0.18472188023767816,0.11910380396345907,0.14869879569173422,0.4018120349719068,0.4605273921629607
10,0.5643356643356643,0.6286713286713287,0.11899083491438245,0.18472188023767816,0.10888947397937629,0.14869879569173422,0.37383936416684427,0.4605273921629607
11,0.5986013986013986,0.6286713286713287,0.13303527481722915,0.18472188023767816,0.11812427886999648,0.14869879569173425,0.3985486443309905,0.4605273921629607
12,0.4433566433566433,0.6286713286713287,0.0942886207707535,0.18472188023767816,0.1352865879902912,0.14869879569173422,0.43901515887738796,0.4605273921629606
13,0.47062937062937066,0.6286713286713287,0.09845847694476917,0.18472188023767816,0.15167670816750436,0.14869879569173422,0.469471144896308,0.4605273921629607
14,0.6314685314685315,0.6286713286713287,0.14455983758915641,0.18472188023767816,0.11148882693238496,0.14869879569173425,0.3774295846000704,0.4605273921629607
15,0.49160839160839165,0.6286713286713287,0.1021642152362791,0.18472188023767816,0.16746732596876296,0.14869879569173422,0.5065487938157874,0.4605273921629607
16,0.5727272727272728,0.6286713286713287,0.12717635817146028,0.18472188023767816,0.11839642185622522,0.14869879569173422,0.3944112128246848,0.4605273921629607
17,0.49160839160839165,0.6286713286713287,0.10718797082115032,0.18472188023767816,0.12796967015766364,0.1486987956917343,0.42117232019459383,0.46052739216296074
18,0.47972027972027975,0.6286713286713287,0.09983521444998099,0.18472188023767816,0.1485620074416462,0.14869879569173422,0.46109215223285127,0.4605273921629607
19,0.5244755244755245,0.6286713286713287,0.11047660656510608,0.18472188023767816,0.12487387824352497,0.14869879569173422,0.4157349034133094,0.4605273921629607
20,0.5,0.6286713286713287,0.10373397790008923,0.18472188023767816,0.14988836236144581,0.14869879569173422,0.4654613167743001,0.46052739216296074
21,0.606993006993007,0.6286713286713287,0.13599589268632212,0.18472188023767816,0.11655409237552503,0.14869879569173422,0.3933839484649543,0.4605273921629607
22,0.5265734265734267,0.6286713286713287,0.11154450228228817,0.18472188023767816,0.12455861996722024,0.14869879569173422,0.4144762950889492,0.4605273921629607
23,0.5132867132867134,0.6286713286713287,0.11176442120765333,0.18472188023767816,0.1195627914906613,0.14869879569173422,0.40202298444523715,0.46052739216296074
24,0.4636363636363637,0.6286713286713287,0.09789146201653984,0.18472188023767816,0.15164723507175296,0.14869879569173422,0.4743654901801556,0.4605273921629607
25,0.4986013986013986,0.6286713286713287,0.10625767742620867,0.18472188023767816,0.1417333561906581,0.14869879569173422,0.44771530462115133,0.46052739216296074
26,0.618881118881119,0.6286713286713287,0.14067539184018013,0.18472188023767816,0.11762768660861123,0.1486987956917343,0.3954625339753641,0.4605273921629608
27,0.4986013986013986,0.6286713286713287,0.111065828570519,0.18472188023767816,0.11744854696963797,0.1486987956917343,0.40139700539327866,0.46052739216296074
28,0.6174825174825175,0.6286713286713287,0.13731090689079,0.18472188023767816,0.11375181418411019,0.14869879569173422,0.38654427382426515,0.4605273921629607
29,0.4902097902097902,0.6286713286713287,0.10282938123708213,0.18472188023767816,0.11996328322555803,0.14869879569173425,0.40487521512761154,0.46052739216296074
30,0.5041958041958042,0.6286713286713287,0.10895802141837597,0.18472188023767816,0.12882553692199555,0.14869879569173425,0.42153403552142693,0.46052739216296074
31,0.5566433566433566,0.6286713286713287,0.11763797612191573,0.18472188023767816,0.1216817855039115,0.14869879569173422,0.407973234887042,0.46052739216296074
32,0.486013986013986,0.6286713286713287,0.10167282630359786,0.18472188023767816,0.13437081591633146,0.14869879569173422,0.43492175683310874,0.4605273921629607
33,0.49440559440559445,0.6286713286713287,0.1025665472292851,0.18472188023767816,0.13872329910257364,0.1486987956917343,0.44187305921344555,0.46052739216296074
34,0.44965034965034967,0.6286713286713287,0.0975345714930897,0.18472188023767816,0.12726727115375455,0.14869879569173422,0.42063067499002915,0.4605273921629607
35,0.5727272727272728,0.6286713286713287,0.1267844100103518,0.18472188023767816,0.12261951933600122,0.14869879569173422,0.40732578136511927,0.4605273921629607
36,0.6314685314685315,0.6286713286713287,0.13997366802500988,0.18472188023767816,0.11143804510996501,0.14869879569173422,0.37899984882265764,0.4605273921629606
37,0.5237762237762238,0.6286713286713287,0.11075914369192219,0.18472188023767816,0.12359941792780992,0.14869879569173422,0.41015931885660956,0.4605273921629607
38,0.5125874125874126,0.6286713286713287,0.1183657548021278,0.18472188023767816,0.130673606899639,0.14869879569173422,0.4302122940280492,0.4605273921629607
39,0.6062937062937063,0.6286713286713287,0.136846135565175,0.18472188023767816,0.11174259047938694,0.14869879569173422,0.3843208318448145,0.4605273921629607
40,0.5482517482517483,0.6286713286713287,0.11789697369001761,0.18472188023767816,0.1293606793493738,0.14869879569173422,0.42317638144904196,0.4605273921629606
41,0.5258741258741259,0.6286713286713287,0.11117192141063907,0.18472188023767816,0.1348761454722248,0.14869879569173422,0.43805639231932014,0.4605273921629607
42,0.5566433566433566,0.6286713286713287,0.11870569951637212,0.18472188023767816,0.12123099493683802,0.14869879569173422,0.40483983064454504,0.4605273921629607
43,0.5608391608391609,0.6286713286713287,0.12084062614606061,0.18472188023767816,0.11961049215244869,0.1486987956917342,0.40348751510212727,0.4605273921629606
44,0.4580419580419581,0.6286713286713287,0.09949313444802288,0.18472188023767816,0.12949670545850953,0.14869879569173425,0.42426363238451203,0.46052739216296074
45,0.6566433566433567,0.6286713286713287,0.14754321909846535,0.18472188023767816,0.10962639619887074,0.14869879569173422,0.37364961268179064,0.4605273921629606
46,0.5734265734265734,0.6286713286713287,0.12084654733027454,0.18472188023767816,0.1117501112563056,0.1486987956917343,0.3820121145056543,0.46052739216296074
47,0.6370629370629372,0.6286713286713287,0.15088431203121966,0.18472188023767816,0.1159781736050252,0.14869879569173422,0.39084867313151994,0.4605273921629607
48,0.46153846153846156,0.6286713286713287,0.10264376252027174,0.18472188023767816,0.12444666839310516,0.1486987956917343,0.4163813159192321,0.46052739216296074
49,0.48601398601398604,0.6286713286713287,0.1017507139852093,0.18472188023767816,0.13089695418901615,0.14869879569173422,0.4303597370025666,0.46052739216296074
50,0.6062937062937064,0.6286713286713287,0.13321433867468252,0.18472188023767816,0.11481927582214621,0.1486987956917343,0.3867296595618844,0.4605273921629607
51,0.6230769230769231,0.6286713286713287,0.1409383559766624,0.18472188023767816,0.11795387207698452,0.14869879569173425,0.39448384985991103,0.46052739216296074
52,0.48601398601398604,0.6286713286713287,0.10162640328240297,0.18472188023767816,0.1411170874056807,0.14869879569173425,0.44909339470400594,0.4605273921629607
53,0.5062937062937063,0.6286713286713287,0.10958593791021579,0.18472188023767816,0.13520382565824676,0.14869879569173422,0.43569675643755573,0.4605273921629606
54,0.6370629370629372,0.6286713286713287,0.14252499496518758,0.18472188023767816,0.11271802518784177,0.14869879569173422,0.38181984081596393,0.46052739216296074
55,0.4958041958041958,0.6286713286713287,0.10272057056533827,0.18472188023767816,0.12276321359575193,0.14869879569173422,0.40983355777276453,0.4605273921629607
56,0.5496503496503496,0.6286713286713287,0.11598081736444213,0.18472188023767816,0.11854051151129827,0.14869879569173422,0.4006513930308032,0.4605273921629607
57,0.5657342657342658,0.6286713286713287,0.12081262124425245,0.18472188023767816,0.12149966582355261,0.1486987956917343,0.4072046910203913,0.46052739216296074
58,0.493006993006993,0.6286713286713287,0.1022923591368661,0.18472188023767816,0.11739850740433297,0.14869879569173422,0.396849339142019,0.4605273921629607
59,0.4944055944055944,0.6286713286713287,0.10235793478994328,0.18472188023767816,0.1519106051765427,0.14869879569173425,0.47210542598926764,0.46052739216296074
60,0.5958041958041959,0.6286713286713287,0.13098423145019256,0.18472188023767816,0.11852607470522503,0.14869879569173422,0.39845426658650823,0.46052739216296074
61,0.5237762237762238,0.6286713286713287,0.11267335969959053,0.18472188023767816,0.12952891026812652,0.14869879569173422,0.41875712117551717,0.4605273921629607
62,0.5664335664335665,0.6286713286713287,0.12440292925382936,0.18472188023767816,0.11981435432319622,0.14869879569173422,0.40370559755270097,0.4605273921629607
63,0.5468531468531469,0.6286713286713287,0.11341150423463121,0.18472188023767816,0.11285890963287644,0.14869879569173422,0.38662282659685315,0.46052739216296074
64,0.6160839160839161,0.6286713286713287,0.13595098136646355,0.18472188023767816,0.12264042775178241,0.14869879569173422,0.40572511800562605,0.4605273921629606
65,0.46713286713286717,0.6286713286713287,0.10254364793371339,0.18472188023767816,0.13587733011625575,0.14869879569173425,0.44008954162231506,0.4605273921629607
66,0.593006993006993,0.6286713286713287,0.13101151609422007,0.18472188023767816,0.11100606832381182,0.14869879569173422,0.3853192332357421,0.4605273921629607
67,0.5167832167832168,0.6286713286713287,0.10687610694068705,0.18472188023767816,0.13837151337756118,0.14869879569173422,0.4444053777641827,0.4605273921629607
68,0.4993006993006993,0.6286713286713287,0.10467747723287173,0.18472188023767816,0.1222401666976761,0.14869879569173422,0.408403171588734,0.4605273921629607
69,0.47902097902097907,0.6286713286713287,0.10202687903862455,0.18472188023767816,0.13665178507935494,0.14869879569173422,0.44198807219292,0.4605273921629606
70,0.46713286713286717,0.6286713286713287,0.0982427515853924,0.18472188023767816,0.12355668644743403,0.1486987956917343,0.4152015958600142,0.46052739216296074
71,0.47622377622377626,0.6286713286713287,0.10531340674719031,0.18472188023767816,0.12475440031616407,0.14869879569173425,0.4144551402721022,0.46052739216296074
72,0.6090909090909091,0.6286713286713287,0.1411445801323467,0.18472188023767816,0.12496697406727021,0.14869879569173422,0.4095293607768326,0.46052739216296074
73,0.49930069930069937,0.6286713286713287,0.1049087192210974,0.18472188023767816,0.13193931057121705,0.14869879569173425,0.43063400765675225,0.4605273921629607
74,0.6006993006993008,0.6286713286713287,0.12962102405470682,0.18472188023767816,0.1134381255086,0.14869879569173422,0.38725443455410025,0.4605273921629607
75,0.544055944055944,0.6286713286713287,0.1150961766263606,0.18472188023767816,0.1337290400638201,0.14869879569173422,0.4322701093596863,0.46052739216296074
76,0.4433566433566434,0.6286713286713287,0.09399287657256347,0.18472188023767816,0.14389836880937856,0.14869879569173425,0.4552456423378558,0.46052739216296074
77,0.5216783216783216,0.6286713286713287,0.1274567749203569,0.18472188023767816,0.1115249901964131,0.14869879569173425,0.38525086687323734,0.4605273921629607
78,0.5237762237762238,0.6286713286713287,0.11344090509839795,0.18472188023767816,0.11726554346354395,0.14869879569173422,0.397662748415561,0.4605273921629607
79,0.5671328671328671,0.6286713286713287,0.1242831665855814,0.18472188023767816,0.11398521366153451,0.1486987956917343,0.3891062686082195,0.46052739216296074
80,0.6146853146853146,0.6286713286713287,0.13678038245804996,0.18472188023767816,0.11131683964460488,0.14869879569173422,0.3849059376704111,0.46052739216296074
81,0.544055944055944,0.6286713286713287,0.11307942939231361,0.18472188023767816,0.1243209774250782,0.14869879569173422,0.4131190045915375,0.4605273921629607
82,0.46713286713286717,0.6286713286713287,0.09829859303307803,0.18472188023767816,0.14699951790181576,0.14869879569173422,0.46066812870983964,0.4605273921629607
83,0.46223776223776225,0.6286713286713287,0.10314037003003715,0.18472188023767816,0.13802445248943013,0.14869879569173422,0.44329318759888914,0.4605273921629607
84,0.47972027972027975,0.6286713286713287,0.10181299598578882,0.18472188023767816,0.13413374343069007,0.1486987956917343,0.4344324988739829,0.46052739216296074
85,0.4447552447552448,0.6286713286713287,0.10008674886124888,0.18472188023767816,0.12803897665154568,0.14869879569173422,0.42427698507730105,0.4605273921629607
86,0.4706293706293706,0.6286713286713287,0.10313747753978497,0.18472188023767816,0.1237261189289782,0.14869879569173425,0.41212991873439514,0.4605273921629607
87,0.5090909090909091,0.6286713286713287,0.10858424644925399,0.18472188023767816,0.12484875190929184,0.14869879569173422,0.41594811840978685,0.4605273921629607
88,0.548951048951049,0.6286713286713287,0.1201871393777922,0.18472188023767816,0.11920163337375973,0.1486987956917343,0.4003329942025815,0.46052739216296074
89,0.5286713286713287,0.6286713286713287,0.11380492984436896,0.18472188023767816,0.11877962512598911,0.1486987956917343,0.39733646349993357,0.4605273921629607
90,0.5307692307692308,0.6286713286713287,0.11486045696271116,0.18472188023767816,0.11973857694475895,0.14869879569173425,0.4000264323775023,0.46052739216296074
91,0.513986013986014,0.6286713286713287,0.10646831905068371,0.18472188023767816,0.15332262461794727,0.14869879569173422,0.473790193119242,0.4605273921629607
92,0.5923076923076923,0.6286713286713287,0.13051929919461602,0.18472188023767816,0.11351817981648576,0.14869879569173422,0.38680802821890214,0.4605273921629607
93,0.48951048951048953,0.6286713286713287,0.10511223075396631,0.18472188023767816,0.1251821601492673,0.14869879569173422,0.41750666315218643,0.4605273921629607
94,0.6111888111888111,0.6286713286713287,0.1329776098136548,0.18472188023767816,0.11789677145263235,0.1486987956917343,0.39409045212088334,0.4605273921629608
95,0.5300699300699301,0.6286713286713287,0.11100788826376337,0.18472188023767816,0.11711617436411026,0.14869879569173422,0.39889598022592104,0.46052739216296074
96,0.5916083916083916,0.6286713286713287,0.13882270001067887,0.18472188023767816,0.11245844609639666,0.14869879569173425,0.3850603630203125,0.46052739216296074
97,0.5601398601398602,0.6286713286713287,0.12364255765617688,0.18472188023767816,0.12444022292563471,0.1486987956917343,0.4146312376987983,0.46052739216296074
98,0.46853146853146854,0.6286713286713287,0.099580517796536,0.18472188023767816,0.13142020157141654,0.14869879569173422,0.42699891030059206,0.4605273921629607
99,0.4937062937062937,0.6286713286713287,0.10291653053602984,0.18472188023767816,0.13933750634760422,0.14869879569173425,0.4467277067380812,0.4605273921629607
100,0.6601398601398601,0.6286713286713287,0.1613340868039096,0.18472188023767816,0.11967493433042958,0.14869879569173425,0.39787511826244476,0.46052739216296074
