rep,roc_auc,pr_auc,brier,log_loss
0,0.4888111888111888,0.10433521978759902,0.13981046328156294,0.4524194528441394
1,0.46223776223776225,0.09726311394756343,0.14781953647797094,0.4691817030732754
2,0.4405594405594406,0.0937298221587212,0.17337265278388103,0.5223293979737511
3,0.5006993006993008,0.1066381837505594,0.13362120514775647,0.4389726634125442
4,0.4937062937062937,0.10505050619445425,0.13812552752157276,0.4483190614934386
5,0.46783216783216786,0.09776867653911073,0.1490838498725637,0.4716099962751088
6,0.46293706293706294,0.09696013096176978,0.14516333786571534,0.4657778796539829
7,0.48251748251748255,0.10161989326741117,0.13745378439132785,0.4463771752962305
8,0.4972027972027972,0.10291509741911295,0.13591286707939013,0.4448826962021704
9,0.4699300699300699,0.09860893886259942,0.13991102957831117,0.4527691119599867
10,0.4846153846153846,0.10173728047835331,0.13697118265182226,0.4465939481789356
11,0.4762237762237762,0.10099161432182419,0.14206251691263833,0.45628937914228046
12,0.48671328671328673,0.10333875800206432,0.14015994181859126,0.4535515204669065
13,0.48391608391608393,0.10044017887307283,0.13970441923938892,0.4524392369980027
14,0.465034965034965,0.09926023361884365,0.14501958882430602,0.46351032081991006
15,0.47482517482517483,0.10134033842281179,0.14259993751287706,0.45842473763508274
16,0.46923076923076923,0.10082050120497199,0.14312809340111274,0.45926701068891906
17,0.46783216783216786,0.09772022682275991,0.13987498029834652,0.4517277921082217
18,0.49510489510489514,0.10526017935340296,0.13249785799171443,0.4388726877619741
19,0.45174825174825173,0.09558265736671086,0.14915615542301544,0.47295187571103237
20,0.4958041958041959,0.10485383770971984,0.13065527655297315,0.43186652174142254
21,0.4461538461538462,0.09457725223599855,0.15373460787038462,0.4803119125441403
22,0.4699300699300699,0.09804804158183449,0.13789054121219035,0.4476648620436585
23,0.4545454545454546,0.09565576224554424,0.14291155682791895,0.45964166671052076
24,0.48951048951048953,0.10173297175338261,0.14165965644619052,0.4569551648769259
25,0.4811188811188811,0.09997662974027013,0.14699910068377817,0.46871815661709615
26,0.4937062937062937,0.10483483268074836,0.13863989170684823,0.4503843581810509
27,0.476923076923077,0.10159013179665752,0.13671391364951818,0.44667595940302696
28,0.5048951048951049,0.10647564557082116,0.13384359678923347,0.4416991337341809
29,0.47062937062937066,0.09846198816989687,0.13906557980367365,0.45124632905562784
30,0.4762237762237762,0.09909200780405733,0.1496356015963046,0.47244873549703587
31,0.5027972027972029,0.1060492241476637,0.13483009825449435,0.4436453177712007
32,0.4762237762237762,0.1020357883924806,0.1356879853829248,0.44378359233942755
33,0.48321678321678324,0.1015282541052957,0.13857196097314836,0.44983280327801817
34,0.4825174825174825,0.10164804170514719,0.13744903795660565,0.44644764750117966
35,0.49370629370629376,0.10212636409139647,0.15010365606563666,0.4733346567729459
36,0.47202797202797203,0.09842835765320507,0.14218368097730588,0.45642463128732463
37,0.47692307692307695,0.09936305670413673,0.14932360113648122,0.47190362676965797
38,0.4538461538461539,0.09528979232675105,0.1642657267874536,0.5036045618818805
39,0.4944055944055944,0.10397982346472112,0.13622964441335836,0.44539662576254396
40,0.4846153846153846,0.10277473832126718,0.13957682567819982,0.451995111289584
41,0.49230769230769234,0.10634356043179358,0.13450804224872973,0.44111261178308336
42,0.4811188811188811,0.10293013064036127,0.1385860148506005,0.4489856672248763
43,0.4720279720279721,0.09839993800483639,0.14827562512294856,0.47077944003197847
44,0.47902097902097907,0.09969864493879718,0.1387680184832682,0.4502779188545847
45,0.4818181818181818,0.10021585746658883,0.13833703088994714,0.4484000319740215
46,0.48251748251748255,0.10015805438986328,0.13180558753343852,0.43635492662122777
47,0.4944055944055944,0.10324291789066584,0.13771946466951565,0.44732027414937586
48,0.4811188811188812,0.10233659926638122,0.14104750075393446,0.4556217564853521
49,0.5062937062937063,0.10675553278019301,0.1366592663720076,0.44532503201739404
50,0.5055944055944056,0.10639160059306624,0.13371442699392724,0.4397808094842941
51,0.47902097902097907,0.09991123327243637,0.14444641550205756,0.46192427518602797
52,0.4881118881118881,0.1034821890005374,0.1387746651355286,0.45006351286455004
53,0.47132867132867134,0.09982755216504378,0.1453091942126106,0.46348134374299355
54,0.47202797202797203,0.09990609468194728,0.145203268493926,0.4654041958668289
55,0.4825174825174825,0.10011743867734567,0.13804059434861765,0.44828214233665487
56,0.49230769230769234,0.1020475023855189,0.13994163346716343,0.45389883320603985
57,0.5027972027972027,0.1048131407412239,0.13370322071432977,0.43999143888430864
58,0.46923076923076923,0.09803129504171043,0.1397661688878345,0.45297068269857954
59,0.4909090909090909,0.1017706175692634,0.13629494704694453,0.44559585328405243
60,0.5013986013986014,0.10855202616924042,0.13790067244871523,0.4478628839304801
61,0.4846153846153846,0.1035107967592821,0.1436647286835512,0.4612355086960375
62,0.4895104895104895,0.10273038038684601,0.1392220167819301,0.45158144491381796
63,0.46993006993006997,0.0981096197896248,0.14441101328010555,0.46309536170686944
64,0.5132867132867133,0.10787436917087145,0.13607137911930967,0.44547187027248325
65,0.509090909090909,0.11024919829408603,0.13297726576097066,0.4374363042228001
66,0.47062937062937066,0.09830118215292387,0.13667678924419716,0.4439445536678658
67,0.4608391608391608,0.09688166907089191,0.15189734323022347,0.4772909192291951
68,0.46503496503496505,0.0970815146812207,0.16236991864883957,0.49991371460260486
69,0.4734265734265734,0.09864731200128019,0.1405834745289748,0.45334022191511075
70,0.45874125874125876,0.09942492234663747,0.14583297538062193,0.4651174545816743
71,0.4426573426573427,0.09400966986227569,0.1659779064135137,0.5060329876826635
72,0.4699300699300699,0.09818879950716189,0.14379566362805446,0.4610623778573447
73,0.4846153846153846,0.10057188191363572,0.131803420414488,0.43654037010867436
74,0.48251748251748255,0.10506668216798984,0.13427449997873808,0.4399854055703299
75,0.46153846153846156,0.09670489714677731,0.15288483111506881,0.4790279886483577
76,0.5006993006993007,0.1051982818624362,0.1309007224001214,0.43413051593392443
77,0.47132867132867134,0.09839853369596092,0.13844433609611959,0.4493584819132818
78,0.4818181818181818,0.10225144093038625,0.14064920503626782,0.4540564250530438
79,0.5034965034965035,0.10446389536297855,0.1350995984936277,0.44080880274620726
80,0.525874125874126,0.11012974815248064,0.13053196135374562,0.43411165696508985
81,0.46923076923076923,0.09786651252880747,0.14661071736879586,0.46806926217308015
82,0.4846153846153846,0.1005803035264059,0.13341286199588515,0.4391114609226583
83,0.48601398601398604,0.10257237019340391,0.13939999500185768,0.4516337177534028
84,0.4825174825174825,0.10018837391042659,0.14773721854389957,0.4683345496341619
85,0.4951048951048951,0.10472868890669805,0.1427150019896729,0.459016731462573
86,0.4755244755244756,0.10144780525912528,0.13706458694180124,0.4459481408385197
87,0.49160839160839165,0.10182553607541683,0.1461216972922707,0.46581527226286296
88,0.48951048951048953,0.10373394186461338,0.13635222655694507,0.44344837029429196
89,0.465034965034965,0.09743883151953277,0.1480132830236991,0.4688941480654526
90,0.5314685314685315,0.11211380106334239,0.12689160883619088,0.42457794319676184
91,0.4573426573426574,0.09606259173887167,0.15483729249588848,0.4832762027121319
92,0.5041958041958041,0.10630041809214341,0.12857302396017375,0.4285667699757194
93,0.493006993006993,0.10717598129504591,0.13676551933959688,0.4456994980842043
94,0.47062937062937066,0.10012365660908171,0.1417902027724267,0.4565221850338445
95,0.4783216783216783,0.09946412184564972,0.146144269230045,0.46556299436241894
96,0.4825174825174825,0.10053803872019765,0.14516706149010986,0.46455318924304645
97,0.45734265734265733,0.09609881375092304,0.15222525841317583,0.4790484855063791
98,0.4811188811188811,0.10489185237272278,0.13140368414920703,0.4351185190521204
99,0.4916083916083916,0.10406278855573561,0.13642580566904197,0.4447112001054999
100,0.4818181818181818,0.10003201057210834,0.1369315350283799,0.4467865533502956
101,0.4720279720279721,0.0986944513147833,0.14132475523860483,0.4565682870344839
102,0.4657342657342658,0.09739342618289047,0.1464214478677475,0.4653788097064096
103,0.5006993006993007,0.10557846507289656,0.1395665769309729,0.4524865871258274
104,0.4727272727272727,0.10157652836307554,0.14303024259623845,0.4589716600150481
105,0.45104895104895104,0.09528067053401729,0.15162048914475118,0.47798327290084425
106,0.4636363636363637,0.09710073260245192,0.14622796553352185,0.466029231850495
107,0.4608391608391608,0.09972434223900625,0.1532704052539455,0.4805162506963445
108,0.4846153846153846,0.10292604740132782,0.13884843278547293,0.4499976101682307
109,0.49720279720279725,0.10500110439758505,0.14077915431648777,0.45416605277246563
110,0.4706293706293706,0.09843412543278288,0.13618378199876593,0.44437427058317563
111,0.4825174825174825,0.10311694600505897,0.14885571068211334,0.47088380718758616
112,0.4825174825174825,0.10018307548516824,0.13339272934677293,0.4391487686801914
113,0.4986013986013986,0.10517191024862843,0.13650214632502913,0.4461491187084328
114,0.4902097902097902,0.10446325885671585,0.1435548109888457,0.460318380674264
115,0.4811188811188811,0.09997426398532114,0.14271614396684262,0.4587601516741175
116,0.4580419580419581,0.09646255689984867,0.14361371055961777,0.4600080453712707
117,0.49090909090909096,0.10168359853974926,0.13636691600081663,0.44545224771655056
118,0.46013986013986014,0.096550590244525,0.14717240195551862,0.46706777426659524
119,0.5055944055944056,0.10650744499799286,0.14656189100769754,0.4651061402508982
120,0.5006993006993007,0.10572404717832004,0.132826067842574,0.4382945327127199
121,0.47762237762237764,0.10429303700036004,0.13776427568821673,0.4485722158512317
122,0.493006993006993,0.10499329130805068,0.1338506070143813,0.43833307707177
123,0.4846153846153846,0.10276165772504932,0.1396624548073708,0.4523669484964998
124,0.4972027972027972,0.10283505658918911,0.13271803879289112,0.43864262022052886
125,0.5020979020979022,0.10602528061601803,0.1384667452370474,0.45007810867537196
126,0.4510489510489511,0.0949725986091315,0.15037375256413157,0.47381379631456777
127,0.4783216783216784,0.10183555419576754,0.14055018018269533,0.45312537554388627
128,0.4783216783216783,0.09935393059688916,0.13999206398571143,0.4526265703758608
129,0.4951048951048951,0.10481353843058333,0.14346567063528864,0.4611298613349555
130,0.46923076923076923,0.10094852478543903,0.15132064612950114,0.47708740957418494
131,0.506993006993007,0.1083367670112177,0.1368764726127403,0.4450183107674775
132,0.47062937062937066,0.09828471284417202,0.14019786817773602,0.4534475773184823
133,0.506993006993007,0.10925140294943808,0.1333456769011849,0.437686195100075
134,0.47412587412587415,0.09863067607568715,0.13952160234768168,0.45190457595857975
135,0.49090909090909096,0.10458141928685286,0.13526262390798413,0.4428171069081007
136,0.46503496503496505,0.1005407258408681,0.1426277829902328,0.45809623596432236
137,0.47902097902097907,0.10188719943803837,0.14541466943073705,0.4649469371673799
138,0.48531468531468536,0.1006275883945621,0.15162382368675323,0.4763514003626504
139,0.5153846153846153,0.10661923241977968,0.13084949586464456,0.4343133850846785
140,0.47482517482517483,0.09896457754955465,0.14912669268306128,0.4712366261353642
141,0.49230769230769234,0.10377207560425603,0.13640469627127172,0.44434245061652966
142,0.4762237762237762,0.0992370903703544,0.147871356311298,0.4698587269387031
143,0.4839160839160839,0.10055489748971798,0.14368776461898028,0.46055610137164743
144,0.49160839160839165,0.10657154902104313,0.13351774762791563,0.43744381926435216
145,0.47342657342657346,0.09862425781447817,0.13316905764463774,0.43840809153857635
146,0.46013986013986014,0.09955769164676272,0.14532681681524348,0.4629269002668317
147,0.4958041958041958,0.1049957174419802,0.13258694079125277,0.43812769798293205
148,0.47132867132867134,0.10009463904157473,0.14337088872721607,0.4597308725390645
149,0.4783216783216783,0.10236408235867447,0.14422104789669202,0.4625910591702186
150,0.4769230769230769,0.10232131430423114,0.13867604307547965,0.4504131419519889
151,0.47412587412587415,0.10125370218231877,0.142343473252776,0.45853183329483366
152,0.4902097902097902,0.10170830006205511,0.1390000735456152,0.4515724281151603
153,0.5062937062937063,0.10636563668087158,0.13884694310993925,0.4511335311221161
154,0.47762237762237764,0.09927412704161595,0.14240262573174586,0.4585781370033373
155,0.47692307692307695,0.10148726293140625,0.14054167356927277,0.4532884494710837
156,0.5055944055944056,0.106645438398075,0.13752540196384122,0.44724183672516477
157,0.47902097902097907,0.10267398677246845,0.1338083076617707,0.4403261988142786
158,0.5160839160839161,0.10863408028389829,0.13412611480295059,0.4407683279974502
159,0.46783216783216786,0.09770432882548477,0.1481981276571011,0.4692680698007848
160,0.5048951048951049,0.10652924759759212,0.12829539324716444,0.42825950374266397
161,0.46923076923076923,0.09791318825659268,0.14534638398578673,0.4638820146522965
162,0.46853146853146854,0.09787371259880664,0.14838345443212117,0.4707244394288827
163,0.5020979020979022,0.10435992347352589,0.13359808038997062,0.4403259019963698
164,0.46713286713286717,0.09764269654835543,0.14134300036654143,0.4551035032202508
165,0.5125874125874126,0.10642530413292078,0.1336859630707262,0.4393125451612283
166,0.48041958041958044,0.10222093362400511,0.1340389819908407,0.4396093011348332
167,0.4755244755244755,0.09890916212995296,0.14263520164156276,0.4582990469561617
168,0.4461538461538462,0.09452547592162253,0.15468239069763912,0.4835666862663472
169,0.47762237762237764,0.10177499381212496,0.14018422020090332,0.4539412357690946
170,0.5083916083916085,0.10663525126864917,0.1375844320483099,0.4488112963348801
171,0.44475524475524475,0.09420315681982673,0.14740384274703444,0.46905282240107243
172,0.4601398601398602,0.09651168334621292,0.1554746500662395,0.4852435852049712
173,0.46713286713286717,0.09755338824571538,0.143562658938829,0.46068956510082437
174,0.4958041958041958,0.10474916722921923,0.13610015602115247,0.4457901570188228
175,0.4993006993006993,0.10364823301283965,0.13166133655151127,0.4360482803244801
176,0.476923076923077,0.10233227511418,0.14430258523562842,0.4620809322843034
177,0.48951048951048953,0.1049699650592782,0.14168401548758003,0.45622239138708337
178,0.4706293706293706,0.09822979009400139,0.13801548796355387,0.4483793876869739
179,0.49510489510489514,0.10276535518054623,0.13098632989201262,0.43496789534958413
180,0.5174825174825175,0.10972872728659269,0.13865820410997998,0.4496950851032403
181,0.4965034965034965,0.1055464359683543,0.14429957001209667,0.46129952809928826
182,0.493006993006993,0.1043446550728396,0.13760446263470721,0.4465780341273627
183,0.46853146853146854,0.09970365927285121,0.14478419163164413,0.463851424126136
184,0.47972027972027975,0.1011011848001957,0.14851592941101113,0.4710113696017951
185,0.5076923076923077,0.10702741643773228,0.12947678035464436,0.42975443854539147
186,0.5174825174825175,0.10943921677474357,0.13002299545133142,0.43169670021360423
187,0.44825174825174824,0.09469513427840742,0.15286354235236796,0.4797671903041928
188,0.4846153846153846,0.10175821567579271,0.14648028240221247,0.4653296869830145
189,0.4412587412587413,0.09384082889758115,0.14993154533434921,0.4738637043274292
190,0.5,0.10446303031986218,0.13980980842340404,0.4532548590728776
191,0.4727272727272727,0.10160184112204519,0.14526033286362103,0.4637924620752926
192,0.4755244755244756,0.1024814728190885,0.13888887111865206,0.449846138629264
193,0.48391608391608393,0.10040760492047451,0.1369833056572164,0.4464383203121546
194,0.4657342657342658,0.09744435014380819,0.13848608207908572,0.44864024140370107
195,0.4951048951048951,0.10461147849211691,0.13751190930686824,0.44758001004411757
196,0.4664335664335665,0.09733337235306214,0.14489658491930307,0.4614967536862297
197,0.4531468531468531,0.09548182555252692,0.15259236641007318,0.4786483065793985
198,0.4818181818181818,0.10022946160478616,0.15582721144752304,0.48623211409555706
199,0.4783216783216784,0.09939245312575844,0.15220745615053394,0.4779012271502154
200,0.4888111888111888,0.10421648490446027,0.1451723177570352,0.4628813959503762
201,0.46223776223776225,0.09685758175390786,0.1493792165940797,0.47164059954099813
202,0.493006993006993,0.10386442231698823,0.13248043305817095,0.43735854443879846
203,0.47132867132867134,0.09820861531624264,0.14187456693648728,0.45673294191258645
204,0.5335664335664336,0.1148548257626352,0.13030924475234387,0.4310616707301408
205,0.4762237762237762,0.09937775166903094,0.14407323697904476,0.4613787047451973
206,0.4727272727272727,0.10150396908988746,0.14175862182767524,0.45719273020039397
207,0.47202797202797203,0.09843385256126769,0.1400611908728463,0.4529424295517171
208,0.46993006993006997,0.10163708000437324,0.1461454518263305,0.46495689646156335
209,0.4762237762237762,0.10212987719032728,0.13901017612073202,0.45153802348804883
210,0.46853146853146854,0.1001871673080775,0.14360539789868923,0.45990712881873863
211,0.5006993006993007,0.10568682629689076,0.13262414046730295,0.4368515763075989
212,0.46013986013986014,0.09645915396899847,0.14354090870170869,0.4611515696907968
