origin_minutes,metric,point_estimate,bootstrap_median,q025,q975,fraction_delta_gt_0,valid_replicates
30,delta_pr,0.010727386780377747,0.013709756885347028,-0.01825830954156421,0.09259572408401213,0.8178162075206113,4973
30,delta_roc,0.0753348214285714,0.07911111111111113,-0.14810844892812108,0.11345922150139019,0.8775387090287553,4973
30,delta_brier,0.005018351763577671,0.004803937168738472,0.0004166943863021048,0.01159982269023061,0.9899457068168108,4973
30,delta_log_loss,0.017552609318155943,0.01737257724647702,0.005016811112143113,0.03296938094619276,0.9979891413633621,4973
45,delta_pr,0.0412122640241992,0.05357941053357358,-0.0005809861040292165,0.1863460026852214,0.9649687940406684,4967
45,delta_roc,0.0852607709750568,0.07619047619047614,-0.01747918747918739,0.17743902439024384,0.9520837527682706,4967
45,delta_brier,0.005625991477572291,0.005347429341493473,4.96934512759905e-06,0.018302442910270517,0.9750352325347292,4967
45,delta_log_loss,0.02061620454498181,0.019578994042662223,-0.0027935928566209466,0.06653942683859126,0.9204751358969196,4967
