origin_minutes,model,delta_pr_vs_direct,delta_roc_vs_direct,delta_brier_vs_direct,delta_log_loss_vs_direct
30,Stage-1-only hierarchy,-0.011992252191514133,-0.09095982142857145,0.010365826953992713,0.024544279264192753
30,Stage-2-only hierarchy,0.006135992234712881,0.044642857142857095,0.006433016475117799,0.019230735533168564
30,Full hierarchy,0.010727386780377747,0.0753348214285714,0.005018351763577671,0.017552609318155943
45,Stage-1-only hierarchy,-0.011218556424272802,-0.04308390022675734,0.006612213781284591,0.0230741427648517
45,Stage-2-only hierarchy,8.84419382065349e-05,-0.0036281179138322184,0.0018126658673258689,0.002875660733650587
45,Full hierarchy,0.0412122640241992,0.0852607709750568,0.005625991477572291,0.02061620454498181
