origin_minutes,model,n,positives,observed_prevalence,mean_prediction,mean_prediction_minus_observed,prediction_observed_ratio
30,LOPO prevalence baseline,232,8,0.034482758620689655,0.03420633248911586,-0.00027642613157379675,0.9919836421843599
30,Direct same-X,232,8,0.034482758620689655,0.06590760006155424,0.03142484144086459,1.9113204017850731
30,Hierarchical same-X,232,8,0.034482758620689655,0.05162325812191203,0.017140499501222373,1.4970744855354488
45,LOPO prevalence baseline,254,9,0.03543307086614173,0.034035765411174035,-0.001397305454967697,0.9605649349375783
45,Direct same-X,254,9,0.03543307086614173,0.0688067798670705,0.033373709000928765,1.9418802318039896
45,Hierarchical same-X,254,9,0.03543307086614173,0.05275009835860949,0.01731702749246776,1.4887249981207569
